district,new_id,form,state,capital
"Dessau-Roßlau, Stadt",9d82c7cf,NA,NA,NA
"Dessau-Roßlau, Stadt",bf908a07,NA,NA,NA
"Dessau-Roßlau, Stadt",c9a20509,NA,NA,NA
"Dessau-Roßlau, Stadt",e0898f3f,NA,NA,NA
Dillingen a.d.Donau,df2920d8,NA,NA,NA
"Dortmund, Stadt",00f40dc6,NA,NA,NA
"Dortmund, Stadt",0ef827aa,NA,NA,NA
"Dortmund, Stadt",181fc94a,NA,NA,NA
"Dortmund, Stadt",1b41f29b,NA,NA,NA
"Dortmund, Stadt",22f5aa14,NA,NA,NA
"Dortmund, Stadt",29a2856a,NA,NA,NA
"Dortmund, Stadt",43c894cd,NA,NA,NA
"Dortmund, Stadt",44cc24c2,NA,NA,NA
"Dortmund, Stadt",5934fd20,NA,NA,NA
"Dortmund, Stadt",77babd76,NA,NA,NA
"Dortmund, Stadt",a53d9481,NA,NA,NA
"Dortmund, Stadt",ada05153,NA,NA,NA
"Dortmund, Stadt",cc449e69,NA,NA,NA
"Dortmund, Stadt",d7a2983d,NA,NA,NA
"Dortmund, Stadt",e1bdc094,NA,NA,NA
"Dortmund, Stadt",eb960435,NA,NA,NA
"Dresden, Stadt",154f16ab,NA,NA,NA
"Dresden, Stadt",23a67d6d,NA,NA,NA
"Dresden, Stadt",45720cfb,NA,NA,NA
"Dresden, Stadt",63b926a9,NA,NA,NA
"Dresden, Stadt",71a1d3ad,NA,NA,NA
"Dresden, Stadt",7ce75af5,NA,NA,NA
"Dresden, Stadt",7d61124b,NA,NA,NA
"Dresden, Stadt",8c26a331,NA,NA,NA
"Dresden, Stadt",bcac42a5,NA,NA,NA
"Dresden, Stadt",c03598bf,NA,NA,NA
"Dresden, Stadt",c2ab8c7a,NA,NA,NA
"Dresden, Stadt",d7fc3e22,NA,NA,NA
"Duisburg, Stadt",07d7825b,NA,NA,NA
"Duisburg, Stadt",3574ec89,NA,NA,NA
"Duisburg, Stadt",5e688959,NA,NA,NA
"Duisburg, Stadt",65dcc920,NA,NA,NA
"Duisburg, Stadt",6b4f98be,NA,NA,NA
"Duisburg, Stadt",7c992baf,NA,NA,NA
"Duisburg, Stadt",7fa2ab2a,NA,NA,NA
"Duisburg, Stadt",80e5c119,NA,NA,NA
"Duisburg, Stadt",9dc9860a,NA,NA,NA
"Duisburg, Stadt",c31ad9d8,NA,NA,NA
"Duisburg, Stadt",e9d8b4ab,NA,NA,NA
"Düsseldorf, Stadt",153c617d,NA,NA,NA
"Düsseldorf, Stadt",29e64437,NA,NA,NA
"Düsseldorf, Stadt",4c24436b,NA,NA,NA
"Düsseldorf, Stadt",4de35223,NA,NA,NA
"Düsseldorf, Stadt",74731c11,NA,NA,NA
"Düsseldorf, Stadt",819c82ef,NA,NA,NA
"Düsseldorf, Stadt",a1e6c159,NA,NA,NA
"Düsseldorf, Stadt",b65b3727,NA,NA,NA
"Düsseldorf, Stadt",b9646275,NA,NA,NA
"Düsseldorf, Stadt",c009f4ae,NA,NA,NA
"Düsseldorf, Stadt",dd662498,NA,NA,NA
"Eisenach, Stadt",ca3e7f56,NA,NA,NA
"Eisenach, Stadt",ce5b9730,NA,NA,NA
"Eisenach, Stadt",dc5375e7,NA,NA,NA
"Emden, Stadt",4a047c2a,NA,NA,NA
"Erfurt, Stadt",14a993e5,NA,NA,NA
"Erfurt, Stadt",6bea6b05,NA,NA,NA
"Erfurt, Stadt",7bcad57c,NA,NA,NA
"Erfurt, Stadt",8f09df66,NA,NA,NA
"Erfurt, Stadt",950cfc5a,NA,NA,NA
"Erfurt, Stadt",c53a6ff2,NA,NA,NA
"Erfurt, Stadt",e37b8830,NA,NA,NA
Erlangen,f607ad8f,NA,NA,NA
"Essen, Stadt",0adaa19c,NA,NA,NA
"Essen, Stadt",181b32d8,NA,NA,NA
"Essen, Stadt",40a5d334,NA,NA,NA
"Essen, Stadt",4963270b,NA,NA,NA
"Essen, Stadt",51687bf4,NA,NA,NA
"Essen, Stadt",5db579ba,NA,NA,NA
"Essen, Stadt",7789e987,NA,NA,NA
"Essen, Stadt",81dc380d,NA,NA,NA
"Essen, Stadt",8976d093,NA,NA,NA
"Essen, Stadt",cee2df0b,NA,NA,NA
"Essen, Stadt",f00d788a,NA,NA,NA
"Flensburg, Stadt",2b8dae62,NA,NA,NA
"Frankfurt (Oder), Stadt",0b4f8706,NA,NA,NA
"Frankfurt am Main, Stadt",016f8da3,NA,NA,NA
"Frankfurt am Main, Stadt",127a058d,NA,NA,NA
"Frankfurt am Main, Stadt",17ed9717,NA,NA,NA
"Frankfurt am Main, Stadt",1cd9a33b,NA,NA,NA
"Frankfurt am Main, Stadt",26f57781,NA,NA,NA
"Frankfurt am Main, Stadt",42d3903b,NA,NA,NA
"Frankfurt am Main, Stadt",438f9e1c,NA,NA,NA
"Frankfurt am Main, Stadt",54130bc8,NA,NA,NA
"Frankfurt am Main, Stadt",7f936d81,NA,NA,NA
"Frankfurt am Main, Stadt",9530d024,NA,NA,NA
