district,form,state,capital
Kempten,Urban,Bavaria,
Kiel,Urban,Schleswig-Holstein,
Kitzingen,Rural,Bavaria,Kitzingen
Koblenz,Urban,Rhineland-Palatinate,
Konstanz,Rural,Baden-Württemberg,Konstanz
Krefeld,Urban,North Rhine-Westphalia,
Kronach,Rural,Bavaria,Kronach
Kulmbach,Rural,Bavaria,Kulmbach
Kusel,Rural,Rhineland-Palatinate,Kusel
Kyffhäuserkreis,Rural,Thuringia,Sondershausen
Lahn-Dill-Kreis,Rural,Hesse,Wetzlar
Landau,Urban,Rhineland-Palatinate,
Landsberg,Rural,Bavaria,Landsberg
Landshut,Rural,Bavaria,Landshut[6]
Landshut,Urban,Bavaria,
Leer,Rural,Lower Saxony,Leer
Leipzig,Rural,Saxony,Borna
Leipzig,Urban,Saxony,
Leverkusen,Urban,North Rhine-Westphalia,
Lichtenfels,Rural,Bavaria,Lichtenfels
Limburg-Weilburg,Rural,Hesse,Limburg
Lindau,Rural,Bavaria,Lindau
Lippe,Rural,North Rhine-Westphalia,Detmold
Lörrach,Rural,Baden-Württemberg,Lörrach
Lübeck,Urban,Schleswig-Holstein,
Lüchow-Dannenberg,Rural,Lower Saxony,Lüchow
Ludwigsburg,Rural,Baden-Württemberg,Ludwigsburg
Ludwigshafen,Urban,Rhineland-Palatinate,
Ludwigslust-Parchim,Rural,Mecklenburg-Vorpommern,Parchim
Lüneburg,Rural,Lower Saxony,Lüneburg
Magdeburg,Urban,Saxony-Anhalt,
Main-Kinzig-Kreis,Rural,Hesse,Gelnhausen
Main-Spessart,Rural,Bavaria,Karlstadt am Main
Main-Tauber-Kreis,Rural,Baden-Württemberg,Tauberbischofsheim
Main-Taunus-Kreis,Rural,Hesse,Hofheim
Mainz,Urban,Rhineland-Palatinate,
Mainz-Bingen,Rural,Rhineland-Palatinate,Ingelheim
Mannheim,Urban,Baden-Württemberg,
Mansfeld-Südharz,Rural,Saxony-Anhalt,Sangerhausen
Marburg-Biedenkopf,Rural,Hesse,Marburg
Märkischer Kreis,Rural,North Rhine-Westphalia,Lüdenscheid
Märkisch-Oderland,Rural,Brandenburg,Seelow
Mayen-Koblenz,Rural,Rhineland-Palatinate,Koblenz[6]
Mecklenburgische Seenplatte,Rural,Mecklenburg-Vorpommern,Neubrandenburg
Meißen,Rural,Saxony,Meißen
Memmingen,Urban,Bavaria,
Merzig-Wadern,Rural,Saarland,Merzig
Mettmann,Rural,North Rhine-Westphalia,Mettmann
Miesbach,Rural,Bavaria,Miesbach
Miltenberg,Rural,Bavaria,Miltenberg
Minden-Lübbecke,Rural,North Rhine-Westphalia,Minden
Mittelsachsen,Rural,Saxony,Freiberg
Mönchengladbach,Urban,North Rhine-Westphalia,
Mühldorf,Rural,Bavaria,Mühldorf
Mülheim an der Ruhr,Urban,North Rhine-Westphalia,
Munich (München),Rural,Bavaria,Munich[6] (München)
Munich,Urban,Bavaria,
Münster,Urban,North Rhine-Westphalia,
Neckar-Odenwald-Kreis,Rural,Baden-Württemberg,Mosbach
Neuburg-Schrobenhausen,Rural,Bavaria,Neuburg
Neumarkt,Rural,Bavaria,Neumarkt in der Oberpfalz
Neumünster,Urban,Schleswig-Holstein,
Neunkirchen,Rural,Saarland,Ottweiler
Neustadt (Aisch)-Bad Windsheim,Rural,Bavaria,Neustadt (Aisch)
Neustadt an der Weinstraße,Urban,Rhineland-Palatinate,
Neustadt an der Waldnaab,Rural,Bavaria,Neustadt an der Waldnaab
Neu-Ulm,Rural,Bavaria,Neu-Ulm
Neuwied,Rural,Rhineland-Palatinate,Neuwied
Nienburg,Rural,Lower Saxony,Nienburg
Nordfriesland,Rural,Schleswig-Holstein,Husum
Nordhausen,Rural,Thuringia,Nordhausen
Nordsachsen,Rural,Saxony,Torgau
Nordwestmecklenburg,Rural,Mecklenburg-Vorpommern,Wismar
Northeim,Rural,Lower Saxony,Northeim
Nuremberg (Nürnberg),Urban,Bavaria,
Nürnberger Land,Rural,Bavaria,Lauf an der Pegnitz
Oberallgäu,Rural,Bavaria,Sonthofen
Oberbergischer Kreis,Rural,North Rhine-Westphalia,Gummersbach
Oberhausen,Urban,North Rhine-Westphalia,
Oberhavel,Rural,Brandenburg,Oranienburg
Oberspreewald-Lausitz,Rural,Brandenburg,Senftenberg
Odenwaldkreis,Rural,Hesse,Erbach
Oder-Spree,Rural,Brandenburg,Beeskow
Offenbach,Rural,Hesse,Dietzenbach
Offenbach am Main,Urban,Hesse,
Oldenburg,Rural,Lower Saxony,Wildeshausen
Oldenburg,Urban,Lower Saxony,
Olpe,Rural,North Rhine-Westphalia,Olpe
Ortenaukreis,Rural,Baden-Württemberg,Offenburg
Osnabrück,Rural,Lower Saxony,Osnabrück[6]
Osnabrück,Urban,Lower Saxony,
Ostalbkreis,Rural,Baden-Württemberg,Aalen
Ostallgäu,Rural,Bavaria,Marktoberdorf
Osterholz,Rural,Lower Saxony,Osterholz-Scharmbeck
Ostholstein,Rural,Schleswig-Holstein,Eutin
Ostprignitz-Ruppin,Rural,Brandenburg,Neuruppin
Paderborn,Rural,North Rhine-Westphalia,Paderborn
Passau,Rural,Bavaria,Passau[6]
Passau,Urban,Bavaria,
Peine,Rural,Lower Saxony,Peine
Pfaffenhofen,Rural,Bavaria,Pfaffenhofen a.d.Ilm
Pforzheim,Urban,Baden-Württemberg,
Pinneberg,Rural,Schleswig-Holstein,Pinneberg
Pirmasens,Urban,Rhineland-Palatinate,
Plön,Rural,Schleswig-Holstein,Plön
Potsdam,Urban,Brandenburg,
Potsdam-Mittelmark,Rural,Brandenburg,Bad Belzig
Prignitz,Rural,Brandenburg,Perleberg
Rastatt,Rural,Baden-Württemberg,Rastatt
Ravensburg,Rural,Baden-Württemberg,Ravensburg
Recklinghausen,Rural,North Rhine-Westphalia,Recklinghausen
Regen,Rural,Bavaria,Regen
Regensburg,Rural,Bavaria,Regensburg[6]
Regensburg,Urban,Bavaria,
Rems-Murr-Kreis,Rural,Baden-Württemberg,Waiblingen
Remscheid,Urban,North Rhine-Westphalia,
Rendsburg-Eckernförde,Rural,Schleswig-Holstein,Rendsburg
Reutlingen,Rural,Baden-Württemberg,Reutlingen
Rhein-Erft-Kreis,Rural,North Rhine-Westphalia,Bergheim
Rheingau-Taunus-Kreis,Rural,Hesse,Bad Schwalbach
Rhein-Hunsrück-Kreis,Rural,Rhineland-Palatinate,Simmern
Rheinisch-Bergischer Kreis,Rural,North Rhine-Westphalia,Bergisch Gladbach
Rhein-Kreis Neuss,Rural,North Rhine-Westphalia,Neuss
Rhein-Lahn-Kreis,Rural,Rhineland-Palatinate,Bad Ems
Rhein-Neckar-Kreis,Rural,Baden-Württemberg,Heidelberg[6]
Rhein-Pfalz-Kreis,Rural,Rhineland-Palatinate,Ludwigshafen[6]
Rhein-Sieg-Kreis,Rural,North Rhine-Westphalia,Siegburg
Rhön-Grabfeld,Rural,Bavaria,Bad Neustadt
Rosenheim,Rural,Bavaria,Rosenheim[6]
Rosenheim,Urban,Bavaria,
Rostock,Rural,Mecklenburg-Vorpommern,Güstrow
Rostock,Urban,Mecklenburg-Vorpommern,
Rotenburg,Rural,Lower Saxony,Rotenburg
Roth,Rural,Bavaria,Roth bei Nürnberg
Rottal-Inn,Rural,Bavaria,Pfarrkirchen
Rottweil,Rural,Baden-Württemberg,Rottweil
Saale-Holzland-Kreis,Rural,Thuringia,Eisenberg
Saalekreis,Rural,Saxony-Anhalt,Merseburg
Saale-Orla-Kreis,Rural,Thuringia,Schleiz
Saalfeld-Rudolstadt,Rural,Thuringia,Saalfeld
Saarbrücken,Rural,Saarland,Saarbrücken
Saarlouis,Rural,Saarland,Saarlouis
Saarpfalz,Rural,Saarland,Homburg
Sächsische Schweiz-Osterzgebirge,Rural,Saxony,Pirna
Salzgitter,Urban,Lower Saxony,
Salzlandkreis,Rural,Saxony-Anhalt,Bernburg
Sankt Wendel,Rural,Saarland,Sankt Wendel
Schaumburg,Rural,Lower Saxony,Stadthagen
Schleswig-Flensburg,Rural,Schleswig-Holstein,Schleswig
Schmalkalden-Meiningen,Rural,Thuringia,Meiningen
Schwabach,Urban,Bavaria,
Schwäbisch Hall,Rural,Baden-Württemberg,Schwäbisch Hall
Schwalm-Eder-Kreis,Rural,Hesse,Homberg
Schwandorf,Rural,Bavaria,Schwandorf
Schwarzwald-Baar-Kreis,Rural,Baden-Württemberg,Villingen-Schwenningen
Schweinfurt,Rural,Bavaria,Schweinfurt[6]
Schweinfurt,Urban,Bavaria,
Schwerin,Urban,Mecklenburg-Vorpommern,
Segeberg,Rural,Schleswig-Holstein,Bad Segeberg
Siegen-Wittgenstein,Rural,North Rhine-Westphalia,Siegen
Sigmaringen,Rural,Baden-Württemberg,Sigmaringen
Soest,Rural,North Rhine-Westphalia,Soest
Solingen,Urban,North Rhine-Westphalia,
Sömmerda,Rural,Thuringia,Sömmerda
Sonneberg,Rural,Thuringia,Sonneberg
Speyer,Urban,Rhineland-Palatinate,
Spree-Neiße,Rural,Brandenburg,Forst
Stade,Rural,Lower Saxony,Stade
Starnberg,Rural,Bavaria,Starnberg
Steinburg,Rural,Schleswig-Holstein,Itzehoe
Steinfurt,Rural,North Rhine-Westphalia,Steinfurt
Stendal,Rural,Saxony-Anhalt,Stendal
Stormarn,Rural,Schleswig-Holstein,Bad Oldesloe
Straubing,Urban,Bavaria,
Straubing-Bogen,Rural,Bavaria,Straubing[6]
Stuttgart,Urban,Baden-Württemberg,
Südliche Weinstraße,Rural,Rhineland-Palatinate,Landau[6]
Südwestpfalz,Rural,Rhineland-Palatinate,Pirmasens[6]
Suhl,Urban,Thuringia,
Teltow-Fläming,Rural,Brandenburg,Luckenwalde
Tirschenreuth,Rural,Bavaria,Tirschenreuth
Traunstein,Rural,Bavaria,Traunstein
Trier,Urban,Rhineland-Palatinate,
Trier-Saarburg,Rural,Rhineland-Palatinate,Trier[6]
Tübingen,Rural,Baden-Württemberg,Tübingen
Tuttlingen,Rural,Baden-Württemberg,Tuttlingen
Uckermark,Rural,Brandenburg,Prenzlau
Uelzen,Rural,Lower Saxony,Uelzen
Ulm,Urban,Baden-Württemberg,
Unna,Rural,North Rhine-Westphalia,Unna
Unstrut-Hainich-Kreis,Rural,Thuringia,Mühlhausen
Unterallgäu,Rural,Bavaria,Mindelheim
Vechta,Rural,Lower Saxony,Vechta
Verden,Rural,Lower Saxony,Verden
Viersen,Rural,North Rhine-Westphalia,Viersen
Vogelsbergkreis,Rural,Hesse,Lauterbach
Vogtlandkreis,Rural,Saxony,Plauen
Vorpommern-Greifswald,Rural,Mecklenburg-Vorpommern,Greifswald
Vorpommern-Rügen,Rural,Mecklenburg-Vorpommern,Stralsund
Vulkaneifel,Rural,Rhineland-Palatinate,Daun
Waldeck-Frankenberg,Rural,Hesse,Korbach
Waldshut,Rural,Baden-Württemberg,Waldshut-Tiengen
Warendorf,Rural,North Rhine-Westphalia,Warendorf
Wartburgkreis,Rural,Thuringia,Eisenach
Weiden in der Oberpfalz,Urban,Bavaria,
Weilheim-Schongau,Rural,Bavaria,Weilheim
Weimar,Urban,Thuringia,
Weimarer Land,Rural,Thuringia,Apolda
Weißenburg-Gunzenhausen,Rural,Bavaria,Weißenburg
Werra-Meißner-Kreis,Rural,Hesse,Eschwege
Wesel,Rural,North Rhine-Westphalia,Wesel
Wesermarsch,Rural,Lower Saxony,Brake
Westerwaldkreis,Rural,Rhineland-Palatinate,Montabaur
Wetteraukreis,Rural,Hesse,Friedberg
Wiesbaden,Urban,Hesse,
Wilhelmshaven,Urban,Lower Saxony,
Wittenberg,Rural,Saxony-Anhalt,Wittenberg
Wittmund,Rural,Lower Saxony,Wittmund
Wolfenbüttel,Rural,Lower Saxony,Wolfenbüttel
Wolfsburg,Urban,Lower Saxony,
Worms,Urban,Rhineland-Palatinate,
Wunsiedel,Rural,Bavaria,Wunsiedel
Wuppertal,Urban,North Rhine-Westphalia,
Würzburg,Rural,Bavaria,Würzburg[6]
Würzburg,Urban,Bavaria,
Zollernalbkreis,Rural,Baden-Württemberg,Balingen
Zweibrücken,Urban,Rhineland-Palatinate,
Zwickau,Rural,Saxony,Zwickau
