district,form,state,capital
Aachen,Rural,North Rhine-Westphalia,Aachen
Aachen,Urban,North Rhine-Westphalia,
Ahrweiler,Rural,Rhineland-Palatinate,Bad Neuenahr-Ahrweiler
Aichach-Friedberg,Rural,Bavaria,Aichach
Alb-Donau-Kreis,Rural,Baden-Württemberg,Ulm[6]
Altenburger Land,Rural,Thuringia,Altenburg
Altenkirchen,Rural,Rhineland-Palatinate,Altenkirchen
Altmarkkreis Salzwedel,Rural,Saxony-Anhalt,Salzwedel
Altötting,Rural,Bavaria,Altötting
Alzey-Worms,Rural,Rhineland-Palatinate,Alzey
Amberg,Urban,Bavaria,
Amberg-Sulzbach,Rural,Bavaria,Amberg[6]
Ammerland,Rural,Lower Saxony,Westerstede
Anhalt-Bitterfeld,Rural,Saxony-Anhalt,Köthen (Anhalt)
Ansbach,Rural,Bavaria,Ansbach[6]
Ansbach,Urban,Bavaria,
Aschaffenburg,Rural,Bavaria,Aschaffenburg[6]
Aschaffenburg,Urban,Bavaria,
Augsburg,Rural,Bavaria,Augsburg[6]
Augsburg,Urban,Bavaria,
Aurich,Rural,Lower Saxony,Aurich
Bad Dürkheim,Rural,Rhineland-Palatinate,Bad Dürkheim
Bad Kissingen,Rural,Bavaria,Bad Kissingen
Bad Kreuznach,Rural,Rhineland-Palatinate,Bad Kreuznach
Bad Tölz-Wolfratshausen,Rural,Bavaria,Bad Tölz
Baden-Baden,Urban,Baden-Württemberg,
Bamberg,Rural,Bavaria,Bamberg[6]
Bamberg,Urban,Bavaria,
Barnim,Rural,Brandenburg,Eberswalde
Bautzen,Rural,Saxony,Bautzen
Bayreuth,Rural,Bavaria,Bayreuth[6]
Bayreuth,Urban,Bavaria,
Berchtesgadener Land,Rural,Bavaria,Bad Reichenhall
Bergstraße,Rural,Hesse,Heppenheim
Berlin,Urban[7],Berlin,
Bernkastel-Wittlich,Rural,Rhineland-Palatinate,Wittlich
Biberach,Rural,Baden-Württemberg,Biberach
Bielefeld,Urban,North Rhine-Westphalia,
Birkenfeld,Rural,Rhineland-Palatinate,Birkenfeld
Böblingen,Rural,Baden-Württemberg,Böblingen
Bochum,Urban,North Rhine-Westphalia,
Bodenseekreis,Rural,Baden-Württemberg,Friedrichshafen
Bonn,Urban,North Rhine-Westphalia,
Börde,Rural,Saxony-Anhalt,Haldensleben
Borken,Rural,North Rhine-Westphalia,Borken
Bottrop,Urban,North Rhine-Westphalia,
Brandenburg an der Havel,Urban,Brandenburg,
Braunschweig,Urban,Lower Saxony,
Breisgau-Hochschwarzwald,Rural,Baden-Württemberg,Freiburg[6]
Bremen,Urban[8],Bremen (state),
Bremerhaven,Urban[8],Bremen (state),
Burgenlandkreis,Rural,Saxony-Anhalt,Naumburg
Calw,Rural,Baden-Württemberg,Calw
Celle,Rural,Lower Saxony,Celle
Cham,Rural,Bavaria,Cham
Chemnitz,Urban,Saxony,
Cleves (Kleve),Rural,North Rhine-Westphalia,Cleves (Kleve)
Cloppenburg,Rural,Lower Saxony,Cloppenburg
Coburg,Rural,Bavaria,Coburg[6]
Coburg,Urban,Bavaria,
Cochem-Zell,Rural,Rhineland-Palatinate,Cochem
Coesfeld,Rural,North Rhine-Westphalia,Coesfeld
Cologne (Köln),Urban,North Rhine-Westphalia,
Cottbus,Urban,Brandenburg,
Cuxhaven,Rural,Lower Saxony,Cuxhaven
Dachau,Rural,Bavaria,Dachau
Dahme-Spreewald,Rural,Brandenburg,Lübben
Darmstadt,Urban,Hesse,
Darmstadt-Dieburg,Rural,Hesse,Darmstadt[6]
Deggendorf,Rural,Bavaria,Deggendorf
Delmenhorst,Urban,Lower Saxony,
Dessau-Roßlau,Urban,Saxony-Anhalt,
Diepholz,Rural,Lower Saxony,Diepholz
Dillingen,Rural,Bavaria,Dillingen
Dingolfing-Landau,Rural,Bavaria,Dingolfing
Dithmarschen,Rural,Schleswig-Holstein,Heide
Donau-Ries,Rural,Bavaria,Donauwörth
Donnersbergkreis,Rural,Rhineland-Palatinate,Kirchheimbolanden
Dortmund,Urban,North Rhine-Westphalia,
Dresden,Urban,Saxony,
Duisburg,Urban,North Rhine-Westphalia,
Düren,Rural,North Rhine-Westphalia,Düren
Düsseldorf,Urban,North Rhine-Westphalia,
Ebersberg,Rural,Bavaria,Ebersberg
Eichsfeld,Rural,Thuringia,Heilbad Heiligenstadt
Eichstätt,Rural,Bavaria,Eichstätt
Eifelkreis Bitburg-Prüm,Rural,Rhineland-Palatinate,Bitburg
Elbe-Elster,Rural,Brandenburg,Herzberg
Emden,Urban,Lower Saxony,
Emmendingen,Rural,Baden-Württemberg,Emmendingen
Emsland,Rural,Lower Saxony,Meppen
Ennepe-Ruhr-Kreis,Rural,North Rhine-Westphalia,Schwelm
Enzkreis,Rural,Baden-Württemberg,Pforzheim[6]
Erding,Rural,Bavaria,Erding
Erfurt,Urban,Thuringia,
Erlangen,Urban,Bavaria,
Erlangen-Höchstadt,Rural,Bavaria,Erlangen[6]
Erzgebirgskreis,Rural,Saxony,Annaberg-Buchholz
Essen,Urban,North Rhine-Westphalia,
Esslingen,Rural,Baden-Württemberg,Esslingen am Neckar
Euskirchen,Rural,North Rhine-Westphalia,Euskirchen
Flensburg,Urban,Schleswig-Holstein,
Forchheim,Rural,Bavaria,Forchheim
Frankenthal,Urban,Rhineland-Palatinate,
Frankfurt am Main,Urban,Hesse,
Frankfurt an der Oder,Urban,Brandenburg,
Freiburg im Breisgau,Urban,Baden-Württemberg,
Freising,Rural,Bavaria,Freising
Freudenstadt,Rural,Baden-Württemberg,Freudenstadt
Freyung-Grafenau,Rural,Bavaria,Freyung
Friesland,Rural,Lower Saxony,Jever
Fulda,Rural,Hesse,Fulda
Fürstenfeldbruck,Rural,Bavaria,Fürstenfeldbruck
Fürth,Rural,Bavaria,Zirndorf
Fürth,Urban,Bavaria,
Garmisch-Partenkirchen,Rural,Bavaria,Garmisch-Partenkirchen
Gelsenkirchen,Urban,North Rhine-Westphalia,
Gera,Urban,Thuringia,
Germersheim,Rural,Rhineland-Palatinate,Germersheim
Gießen,Rural,Hesse,Gießen
Gifhorn,Rural,Lower Saxony,Gifhorn
Göppingen,Rural,Baden-Württemberg,Göppingen
Görlitz,Rural,Saxony,Görlitz
Goslar,Rural,Lower Saxony,Goslar
Gotha,Rural,Thuringia,Gotha
Göttingen,Rural,Lower Saxony,Göttingen
Göttingen,Urban[5],Lower Saxony,
Grafschaft Bentheim,Rural,Lower Saxony,Nordhorn
Greiz,Rural,Thuringia,Greiz
Groß-Gerau,Rural,Hesse,Groß-Gerau
Günzburg,Rural,Bavaria,Günzburg
Gütersloh,Rural,North Rhine-Westphalia,Gütersloh
Hagen,Urban,North Rhine-Westphalia,
Halle,Urban,Saxony-Anhalt,
Hamburg,Urban[7],Hamburg,
Hameln-Pyrmont (Hameln-Pyrmont),Rural,Lower Saxony,Hamelin (Hameln)
Hamm,Urban,North Rhine-Westphalia,
Hanover (Hannover),Rural[4],Lower Saxony,Hanover (Hannover)
Hanover,Urban[5],Lower Saxony,
Harburg,Rural,Lower Saxony,Winsen
Harz,Rural,Saxony-Anhalt,Halberstadt
Haßberge,Rural,Bavaria,Haßfurt
Havelland,Rural,Brandenburg,Rathenow
Heidekreis,Rural,Lower Saxony,Bad Fallingbostel
Heidelberg,Urban,Baden-Württemberg,
Heidenheim,Rural,Baden-Württemberg,Heidenheim
Heilbronn,Rural,Baden-Württemberg,Heilbronn[6]
Heilbronn,Urban,Baden-Württemberg,
Heinsberg,Rural,North Rhine-Westphalia,Heinsberg
Helmstedt,Rural,Lower Saxony,Helmstedt
Herford,Rural,North Rhine-Westphalia,Herford
Herne,Urban,North Rhine-Westphalia,
Hersfeld-Rotenburg,Rural,Hesse,Bad Hersfeld
Herzogtum Lauenburg,Rural,Schleswig-Holstein,Ratzeburg
Hildburghausen,Rural,Thuringia,Hildburghausen
Hildesheim,Rural,Lower Saxony,Hildesheim
Hochsauerlandkreis,Rural,North Rhine-Westphalia,Meschede
Hochtaunuskreis,Rural,Hesse,Bad Homburg
Hof,Rural,Bavaria,Hof[6]
Hof,Urban,Bavaria,
Hohenlohe,Rural,Baden-Württemberg,Künzelsau
Holzminden,Rural,Lower Saxony,Holzminden
Höxter,Rural,North Rhine-Westphalia,Höxter
Ilm-Kreis,Rural,Thuringia,Arnstadt
Ingolstadt,Urban,Bavaria,
Jena,Urban,Thuringia,
Jerichower Land,Rural,Saxony-Anhalt,Burg
Kaiserslautern,Rural,Rhineland-Palatinate,Kaiserslautern[6]
Kaiserslautern,Urban,Rhineland-Palatinate,
Karlsruhe,Rural,Baden-Württemberg,Karlsruhe[6]
Karlsruhe,Urban,Baden-Württemberg,
Kassel,Rural,Hesse,Kassel[6]
Kassel,Urban,Hesse,
Kaufbeuren,Urban,Bavaria,
Kelheim,Rural,Bavaria,Kelheim
