hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH1089,8,1,Mother-in-law,19,F,0,5,2,1,0,0,0,0,3,3
HH1089,9,1,Niece,14,F,0,5,2,1,0,0,0,0,3,3
HH1090,1,1,Mother,25,F,1,5,2,1,0,0,1,0,3,3
HH1090,2,1,Father,31,M,1,5,2,1,0,0,1,0,3,3
HH1090,3,1,Grandmother,76,F,0,5,2,1,0,0,1,0,3,3
HH1091,1,1,Mother,37,F,0,5,3,1,0,0,1,0,2,1
HH1091,2,1,Father,48,M,0,5,3,1,0,0,1,0,2,1
HH1091,3,1,Brother,18,M,0,5,3,1,0,0,1,0,2,1
HH1091,4,1,Sister,14,F,1,5,3,1,0,0,1,0,2,1
HH1091,5,1,Brother,6,M,0,5,3,1,0,0,1,0,2,1
HH1092,1,1,Grandmother,60,F,0,4,2,1,1,0,1,1,3,3
HH1092,2,1,Grandfather,65,M,0,4,2,1,1,0,1,1,3,3
HH1092,3,1,Cousin,8,M,1,4,2,1,1,0,1,1,3,3
HH1092,4,1,Sister,6,F,0,4,2,1,1,0,1,1,3,3
HH1092,5,1,Brother,6,M,1,4,2,1,1,0,1,1,3,3
HH1092,6,1,Sister,2,F,0,4,2,1,1,0,1,1,3,3
HH1092,7,1,Not related,17,F,0,4,2,1,1,0,1,1,3,3
HH1093,1,1,Mother,36,F,0,5,2,1,0,0,0,0,3,1
HH1093,2,1,Father,39,M,0,5,2,1,0,0,0,0,3,1
HH1094,1,1,Grandfather,74,M,0,5,3,1,0,0,1,0,3,3
HH1094,2,1,Grandmother,41,F,0,5,3,1,0,0,1,0,3,3
HH1094,3,1,Aunt,43,F,0,5,3,1,0,0,1,0,3,3
HH1094,4,1,Brother,9,M,1,5,3,1,0,0,1,0,3,3
HH1094,5,1,Brother,15,M,1,5,3,1,0,0,1,0,3,3
HH1095,1,1,Cousin,70,F,0,4,2,1,1,0,1,0,3,3
HH1095,2,1,Other relative,74,M,0,4,2,1,1,0,1,0,3,3
HH1095,3,1,Not related,24,M,0,4,2,1,1,0,1,0,3,3
HH1095,4,1,Not related,25,M,0,4,2,1,1,0,1,0,3,3
HH1096,1,1,Son,20,M,0, , , , , , , , , 
HH1096,2,1,Daughter,7,F,0, , , , , , , , , 
HH1096,3,1,Son,4,M,1, , , , , , , , , 
HH1096,4,1,Son,2,M,1, , , , , , , , , 
HH1097,1,1,Grandmother,53,F,1,3,2,1,0,0,0,0,3,3
HH1098,1,1,Grandfather,81,M,0, , , , , , , , , 
HH1098,2,1,Grandmother,67,F,0, , , , , , , , , 
HH1098,3,1,Uncle,50,M,0, , , , , , , , , 
HH1098,4,1,Uncle,29,M,0, , , , , , , , , 
HH1098,5,1,Sister,17,F,0, , , , , , , , , 
HH1098,6,1,Aunt,20,F,0, , , , , , , , , 
HH1098,7,1,Mother,34,F,1, , , , , , , , , 
HH1098,8,1,Brother,35,M,0, , , , , , , , , 
HH1098,9,1,Sister,40,F,0, , , , , , , , , 
HH1098,10,1,Sister,16,F,0, , , , , , , , , 
HH1098,11,1,Sister,14,F,0, , , , , , , , , 
HH1099,1,1,Father,60,M,0,5,2,1,0,0,0,0,3,3
HH1099,2,1,Brother,10,M,0,5,2,1,0,0,0,0,3,3
HH1099,3,1,Brother,16,M,0,5,2,1,0,0,0,0,3,3
HH1099,4,1,Daughter,2,F,1,5,2,1,0,0,0,0,3,3
HH1099,5,1,Sister,20,F,1,5,2,1,0,0,0,0,3,3
HH1099,6,1,Sister,13,F,1,5,2,1,0,0,0,0,3,3
HH1100,1,1,Father,55,M,0,5,2,1,0,0,0,1,3,3
HH1100,2,1,Mother,51,F,0,5,2,1,0,0,0,1,3,3
HH1100,3,1,Brother,27,M,0,5,2,1,0,0,0,1,3,3
HH1100,4,1,Daughter-in-law,25,F,0,5,2,1,0,0,0,1,3,3
