hh_id,hhline,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH910,1,1,Wife,46,F,1,5,2,1,0,0,0,0,3,3
HH910,2,1,Son,25,M,0,5,2,1,0,0,0,0,3,3
HH910,3,1,Daughter-in-law,24,F,0,5,2,1,0,0,0,0,3,3
HH910,4,1,Son,11,M,0,5,2,1,0,0,0,0,3,3
HH911,1,1,Daughter,4,F,1,5,2,1,0,0,1,0,2,3
HH911,2,1,Son,4,M,1,5,2,1,0,0,1,0,2,3
HH911,3,1,Son,1,M,1,5,2,1,0,0,1,0,2,3
HH911,4,1,Husband,27,M,1,5,2,1,0,0,1,0,2,3
HH912,1,1,Grandmother,63,F,0,6,5, ,0,0,0,0,3,1
HH912,2,1,Grandfather,71,M,0,6,5, ,0,0,0,0,3,1
HH912,3,1,Uncle,40,M,0,6,5, ,0,0,0,0,3,1
HH912,4,1,Aunt,23,F,0,6,5, ,0,0,0,0,3,1
HH913,1,1,Grandmother,59,F,1,5,2,1,0,0,1,0,3,3
HH913,2,1,Aunt,24,F,0,5,2,1,0,0,1,0,3,3
HH913,3,1,Brother,4,M,0,5,2,1,0,0,1,0,3,3
HH913,4,1,Brother,0,M,0,5,2,1,0,0,1,0,3,3
HH914,1,1,Grandmother,62,F,0,10,2,1,0,0,0,0,3,1
HH914,2,1,Brother,11,M,0,10,2,1,0,0,0,0,3,1
HH914,3,1,Brother,8,M,0,10,2,1,0,0,0,0,3,1
HH914,4,1,Sister,7,F,1,10,2,1,0,0,0,0,3,1
HH915,1,1,Grandfather,69,M,,5,2,1,1,1,1,1,3,3
HH915,2,1,Grandmother,66,F,,5,2,1,1,1,1,1,3,3
HH915,3,1,Daughter,0,F,,5,2,1,1,1,1,1,3,3
HH915,4,1,Cousin,8,F,,5,2,1,1,1,1,1,3,3
HH915,5,1,Cousin,10,M,,5,2,1,1,1,1,1,3,3
