hh_id,hhline,hh_member_id,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH368,3,HH368_3,2,Brother,5,M,1,5,2,1,0,0,0,0,2,1
HH369,1,HH369_1,2,Mother,65,F,0,10,5,NA,0,0,0,0,2,1
HH369,2,HH369_2,2,Niece,15,F,0,10,5,NA,0,0,0,0,2,1
HH369,3,HH369_3,2,Niece,10,F,0,10,5,NA,0,0,0,0,2,1
HH369,4,HH369_4,2,Nephew,3,M,0,10,5,NA,0,0,0,0,2,1
HH369,5,HH369_5,2,Nephew,3,M,0,10,5,NA,0,0,0,0,2,1
HH369,6,HH369_6,2,Daughter,5,F,1,10,5,NA,0,0,0,0,2,1
HH369,7,HH369_7,2,Grandmother,65,F,0,10,5,NA,0,0,0,0,2,1
HH369,8,HH369_8,2,Father,32,M,1,10,5,NA,0,0,0,0,2,1
HH369,9,HH369_9,2,Niece,15,F,0,10,5,NA,0,0,0,0,2,1
HH369,10,HH369_10,2,Cousin,10,F,0,10,5,NA,0,0,0,0,2,1
HH369,11,HH369_11,2,Cousin,5,F,0,10,5,NA,0,0,0,0,2,1
HH369,12,HH369_12,2,Cousin,3,M,0,10,5,NA,0,0,0,0,2,1
HH369,13,HH369_13,2,Cousin,3,M,0,10,5,NA,0,0,0,0,2,1
HH370,1,HH370_1,2,Grandfather,74,M,1,2,2,1,0,0,0,0,3,3
HH370,2,HH370_2,2,Grandmother,62,F,1,2,2,1,0,0,0,0,3,3
HH370,3,HH370_3,2,Son,16,M,0,2,2,1,0,0,0,0,3,3
HH370,4,HH370_4,2,Daughter,20,F,0,2,2,1,0,0,0,0,3,3
HH371,1,HH371_1,2,Mother,55,F,1,4,2,1,0,0,1,1,3,3
HH371,2,HH371_2,2,Sister,32,F,1,4,2,1,0,0,1,1,3,3
HH372,1,HH372_1,2,Mother-in-law,57,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,2,HH372_2,2,Father-in-law,64,M,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,3,HH372_3,2,Husband,30,M,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,4,HH372_4,2,Aunt,19,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH372,5,HH372_5,2,Aunt,16,F,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
