hh_id,hhline,hh_member_id,study_site,hhmem_relation_ego,hhmem_age,hhmem_gender,sleep_room_ego,hh_access_to_water,hh_toilet,hh_shared_toilet,hh_electricity,hh_refridgerator,hh_radio,hh_television,type_house,type_floor
HH230,3,HH230_3,2,Niece,8,F,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
HH231,1,HH231_1,2,Grandmother,89,F,0,1,1,1,1,1,1,1,3,3
HH231,2,HH231_2,2,Mother,58,F,0,1,1,1,1,1,1,1,3,3
HH231,3,HH231_3,2,Nephew,8,M,0,1,1,1,1,1,1,1,3,3
HH231,4,HH231_4,2,Daughter,7,F,0,1,1,1,1,1,1,1,3,3
HH232,1,HH232_1,2,Grandmother,62,F,0,1,2,1,0,0,0,0,3,3
HH232,2,HH232_2,2,Mother,36,F,0,1,2,1,0,0,0,0,3,3
HH232,3,HH232_3,2,Sister,16,F,0,1,2,1,0,0,0,0,3,3
HH233,1,HH233_1,2,Father,42,M,0,1,1,1,1,1,1,1,3,3
HH233,2,HH233_2,2,Mother,39,F,0,1,1,1,1,1,1,1,3,3
HH233,3,HH233_3,2,Brother,22,M,1,1,1,1,1,1,1,1,3,3
HH233,4,HH233_4,2,Sister,13,F,0,1,1,1,1,1,1,1,3,3
HH233,5,HH233_5,2,Brother,10,M,0,1,1,1,1,1,1,1,3,3
HH235,1,HH235_1,2,Father,58,M,1,5,2,1,0,0,1,0,3,3
HH235,2,HH235_2,2,Mother,45,F,1,5,2,1,0,0,1,0,3,3
